time,weather_code (wmo code),temperature_2m_max (°C),daylight_duration (s),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
1/1/23,3,1.9,15082.31,0,0,24.2
1/2/23,3,-2.9,15278.57,0,0,20
1/3/23,71,-8.7,15490.04,0,0.07,13.1
1/4/23,73,-8.4,15715.75,0,0.42,15.5
1/5/23,73,-6.5,15954.7,0,2.87,16.5
1/6/23,3,-8.1,16205.96,0,0,11.5
1/7/23,73,-6.4,16468.59,0.1,3.15,15.8
1/8/23,73,-4.5,16741.72,0,5.11,19.8
1/9/23,73,-4,17024.5,0,3.36,17.3
1/10/23,73,-4,17316.1,0.1,2.94,10.4
1/11/23,73,1.7,17615.78,0.2,2.38,23.5
1/12/23,3,2.7,17922.79,0,0,21.5
1/13/23,3,-0.2,18236.46,0,0,15.8
1/14/23,71,-5.1,18556.13,0,0.14,11
1/15/23,75,0.8,18881.21,0,11.27,19.1
1/16/23,73,1.1,19211.12,0,1.54,19.1
1/17/23,73,-2.1,19545.33,0,0.49,15.5
1/18/23,75,0.3,19883.91,0,7.7,16.3
1/19/23,71,-0.1,20230.43,0,0.77,13.5
1/20/23,71,-1.5,20584.77,0,0.07,15.8
1/21/23,3,-4.8,20946.08,0,0,17.3
1/22/23,3,-4.2,21313.54,0,0,15.6
1/23/23,51,-1.8,21686.39,0.4,0,17.1
1/24/23,51,1.8,22063.91,0.3,0,25.9
1/25/23,51,7.5,22445.45,0.1,0,30.3
1/26/23,3,1,22830.37,0,0,16.6
1/27/23,3,-0.1,23218.11,0,0,20
1/28/23,71,0.9,23608.11,0.5,0.21,27.1
1/29/23,71,0.3,23999.88,0,0.28,23.1
1/30/23,73,-0.5,24392.93,0,1.75,22.6
1/31/23,0,-4.3,24786.85,0,0,17.7
2/1/23,71,-8.6,25181.19,0,0.07,13.2
2/2/23,3,-6.3,25575.58,0,0,13.7
2/3/23,3,-8.2,25969.65,0,0,12.7
2/4/23,3,-10.7,26363.07,0,0,16.9
