time,weather_code (wmo code),temperature_2m_max (°C),daylight_duration (s),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
1/1/23,3,2.9,14791.79,0,0,28.8
1/2/23,3,-2,14992.71,0,0,20.5
1/3/23,71,-8.3,15209.11,0,0.14,16.9
1/4/23,73,-5.3,15439.93,0,0.63,21
1/5/23,73,-4.1,15684.15,0,3.57,21.9
1/6/23,73,-6,15940.79,0,1.26,12
1/7/23,73,-5.7,16208.89,0,1.68,18.4
1/8/23,73,-3.8,16487.54,0,4.9,24.5
1/9/23,73,-3.2,16775.86,0,3.64,22.1
1/10/23,73,-3.2,17073.02,0,2.17,12.3
1/11/23,75,2.3,17378.22,2.2,2.1,25.2
1/12/23,3,3.1,17690.75,0,0,24.2
1/13/23,3,0.6,18009.87,0,0,18.2
1/14/23,71,-4.4,18334.93,0,0.28,11.2
1/15/23,75,1.5,18665.33,0.9,7.63,29
1/16/23,73,1.8,19000.47,0.8,1.33,25.9
1/17/23,73,-0.6,19339.84,0,0.42,17.7
1/18/23,75,1,19683.49,0.2,8.12,21.3
1/19/23,71,0.5,20035.05,0,0.35,17.4
1/20/23,3,-1.3,20394.4,0,0,15.2
1/21/23,3,-4.3,20760.67,0,0,18.4
1/22/23,3,-3.7,21133.03,0,0,16.5
1/23/23,3,-2.4,21510.73,0,0,19
1/24/23,51,2.5,21893.02,0.2,0,27.7
1/25/23,55,7.8,22279.25,1.6,0,32.9
1/26/23,3,1.7,22668.77,0,0,16.6
1/27/23,3,0.5,23061.03,0,0,21
1/28/23,51,1.6,23455.46,0.4,0,29.6
1/29/23,71,0.8,23851.57,0,0.21,26.8
1/30/23,73,0,24248.87,0,2.73,25
1/31/23,3,-4.2,24646.94,0,0,18.7
2/1/23,71,-7.2,25045.35,0,0.14,13.2
2/2/23,3,-5,25443.72,0,0,15.5
2/3/23,3,-7.1,25841.68,0,0,16.6
2/4/23,3,-10.2,26238.9,0,0,15
2/5/23,73,-1.7,26635.06,0,0.35,21
2/6/23,51,3.3,27029.85,0.1,0,23.2
2/7/23,3,5.3,27423.58,0,0,23.2
2/8/23,3,2.6,27820.07,0,0,28.5
2/9/23,71,3.8,28219.67,0,0.07,29.8
2/10/23,3,-0.5,28621.93,0,0,27.5
2/11/23,3,-2.7,29026.41,0,0,20.4
2/12/23,3,6.5,29432.69,0,0,29.1
2/13/23,3,4.8,29840.4,0,0,35.7
