time,weather_code (wmo code),temperature_2m_max (°C),daylight_duration (s),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
1/1/23,3,3,14185.12,0,0,27.6
1/2/23,3,-2.4,14396.36,0,0,19.5
1/3/23,3,-9.4,14623.56,0,0,17.8
1/4/23,3,-8.3,14865.58,0,0,17.9
1/5/23,71,-5.9,15121.31,0,0.91,17.4
1/6/23,71,-7.6,15389.69,0,0.7,12.2
1/7/23,73,-5.2,15669.67,0,1.96,17.4
1/8/23,73,-3.4,15960.29,0.2,5.74,24
1/9/23,73,-3,16260.6,0,2.8,24.6
1/10/23,73,-2.9,16569.71,0.1,2.1,12.8
1/11/23,73,2,16886.82,1.4,1.68,25.4
1/12/23,3,3.1,17211.12,0,0,20.5
1/13/23,3,-0.1,17541.9,0,0,16.5
1/14/23,3,-4.8,17878.46,0,0,11.3
1/15/23,75,1.1,18220.17,0.7,7.98,23.2
1/16/23,73,1.5,18566.43,1.1,2.17,21.7
1/17/23,73,-0.8,18916.71,0,0.42,17.4
1/18/23,73,0.9,19271.08,0.1,8.19,19.5
1/19/23,71,0.5,19633.28,0,0.21,17.7
1/20/23,3,-1.5,20003.18,0,0,15.9
1/21/23,3,-4.9,20379.87,0,0,18.2
1/22/23,3,-4.3,20762.53,0,0,13.4
1/23/23,3,-0.6,21150.36,0,0,14.9
1/24/23,51,1.9,21542.62,0.4,0,20.5
1/25/23,53,8.2,21938.64,0.5,0,30.4
1/26/23,3,1.5,22337.76,0,0,16.6
1/27/23,3,0.7,22739.43,0,0,19.5
1/28/23,51,2.1,23143.07,0.1,0,30.6
1/29/23,73,0.8,23548.18,0,0.63,24.7
1/30/23,73,-0.5,23954.3,0,2.31,22.5
1/31/23,3,-4.9,24360.98,0,0,19.9
2/1/23,3,-6.2,24767.8,0,0,13
2/2/23,73,-4.9,25174.39,0,0.21,15.2
2/3/23,3,-7.7,25580.38,0,0,14.8
2/4/23,3,-11,25985.45,0,0,14.8
2/5/23,71,-1.2,26389.26,0,0.14,19.6
2/6/23,51,3.1,26791.52,0.2,0,22.5
2/7/23,3,6,27192.56,0,0,23.4
2/8/23,3,3,27596.27,0,0,24.2
2/9/23,3,4.1,28003.02,0,0,28
2/10/23,3,-0.6,28412.34,0,0,25.2
2/11/23,3,-2,28823.79,0,0,19
2/12/23,3,6.8,29236.96,0,0,29.7
2/13/23,3,5.1,29651.47,0,0,33.7
2/14/23,3,6.4,30066.93,0,0,18.1
2/15/23,3,1.7,30483.01,0,0,13.3
2/16/23,71,1,30899.38,0,0.35,14.7
2/17/23,71,-0.5,31315.73,0,0.07,14.6
2/18/23,73,0.1,31731.75,0,10.92,11
